1 1293378
2 4582005
3 15260023
4 82857658
5 83244891
6 154023035
7 165166771
8 172693004
9 179361712
10 186590990
11 194977190
12 201580392
13 236383599
14 238440139
15 258893574
16 262638597
17 270303970
18 310342000
19 318131307
20 321827276
21 324844437
22 336391968
23 387118448
24 398603723
25 474823739
26 479405744
27 483298079
28 505319191
29 544652554
30 566996423
31 632169276
32 685696854
33 685719198
34 691663345
35 746358135
36 746693167
37 761618159
38 780874727
39 803830098
40 815503271
41 826098344
42 829520427
43 830763295
44 841008821
45 851828063
46 860612115
47 861268182
48 872574983
49 962884398
50 979540326
51 993973357
52 1028835261
53 1037104671
54 1061879591
55 1067846082
56 1076831015
57 1091166874
58 1137488467
59 1197004084
60 1221777972
61 1235094220
62 1246021759
63 1258297061
64 1289046255
65 1334839618
66 1347277200
67 1367239671
68 1380682946
69 1394962322
70 1407044601
71 1421760865
72 1462131044
73 1471641598
74 1566547045
75 1572456479
76 1592381454
77 1594453870
78 1595747248
79 1643321543
80 1720570080
81 1724403047
82 1731354291
83 1747576445
84 1766714496
85 1774036872
86 1778972444
87 1803763547
88 1822100939
89 1852410750
90 1878260401
91 1891929754
92 1913625513
93 1920269449
94 1960627862
95 2058272266
96 2070707200
97 2081532785
98 2115619817
99 2119173803
100 2141517157
